Timestamp, LeftSensor (cm), RightSensor (cm)
6/9/2018 17:33:32,100,97
6/9/2018 17:33:42,100,97
6/9/2018 17:33:52,99,97
6/9/2018 17:34:02,99,97
6/9/2018 17:34:12,99,97
6/9/2018 17:34:22,99,97
6/9/2018 17:34:32,99,98
6/9/2018 17:34:42,99,98
6/9/2018 17:34:52,99,98
6/9/2018 17:35:02,99,98
6/9/2018 17:35:12,99,97
6/9/2018 17:35:22,99,97
6/9/2018 17:35:32,99,98
6/9/2018 17:35:42,99,97
6/9/2018 17:35:52,99,98
6/9/2018 17:36:02,99,97
6/9/2018 17:36:12,99,98
6/9/2018 17:36:22,99,98
6/9/2018 17:36:32,99,98
6/9/2018 17:36:42,100,98
6/9/2018 17:36:52,100,98
6/9/2018 17:37:02,100,98
6/9/2018 17:37:13,100,98
6/9/2018 17:37:23,100,98
6/9/2018 17:37:33,100,98
6/9/2018 17:37:43,99,98
6/9/2018 17:37:53,99,98
6/9/2018 17:38:03,100,97
6/9/2018 17:38:13,100,98
6/9/2018 17:38:23,99,97
6/9/2018 17:38:33,99,98
6/9/2018 17:38:43,99,98
6/9/2018 17:38:53,100,98
6/9/2018 17:39:03,99,98
6/9/2018 17:39:13,100,98
6/9/2018 17:39:23,99,97
6/9/2018 17:39:33,99,97
6/9/2018 17:39:43,99,98
6/9/2018 17:39:53,99,98
6/9/2018 17:40:03,99,98
6/9/2018 17:40:13,99,98
6/9/2018 17:40:23,99,97
6/9/2018 17:40:33,99,97
6/9/2018 17:40:43,99,98
6/9/2018 17:40:53,99,98
6/9/2018 17:41:03,99,98
6/9/2018 17:41:13,99,97
6/9/2018 17:41:24,99,97
6/9/2018 17:41:34,100,97
6/9/2018 17:41:44,99,97
6/9/2018 17:41:54,99,98
6/9/2018 17:42:04,99,97
6/9/2018 17:42:14,99,98
6/9/2018 17:42:24,99,98
6/9/2018 17:42:34,100,98
6/9/2018 17:42:44,99,97
6/9/2018 17:42:54,100,97
6/9/2018 17:43:04,100,98
6/9/2018 17:43:14,100,97
6/9/2018 17:43:24,99,98
6/9/2018 17:43:34,99,98
6/9/2018 17:43:44,99,97
6/9/2018 17:43:54,99,97
6/9/2018 17:44:04,99,98
6/9/2018 17:44:14,99,97
6/9/2018 17:44:24,99,98
6/9/2018 17:44:34,99,98
6/9/2018 17:44:44,99,98
6/9/2018 17:44:54,100,98
6/9/2018 17:45:04,99,97
6/9/2018 17:45:14,99,97
6/9/2018 17:45:24,100,97
6/9/2018 17:45:34,99,97
6/9/2018 17:45:45,99,98
6/9/2018 17:45:55,99,98
6/9/2018 17:46:05,99,98
6/9/2018 17:46:15,99,98
6/9/2018 17:46:25,99,98
6/9/2018 17:46:35,100,98
6/9/2018 17:46:45,99,98
6/9/2018 17:46:55,99,98
6/9/2018 17:47:05,99,98
6/9/2018 17:47:15,100,98
6/9/2018 17:47:25,99,98
6/9/2018 17:47:35,100,98
6/9/2018 17:47:45,99,98
6/9/2018 17:47:55,99,98
6/9/2018 17:48:05,100,98
6/9/2018 17:48:15,99,98
6/9/2018 17:48:25,99,97
6/9/2018 17:48:35,100,98
6/9/2018 17:48:45,99,98
6/9/2018 17:48:55,100,97
6/9/2018 17:49:05,99,98
6/9/2018 17:49:15,100,98
6/9/2018 17:49:25,99,98
6/9/2018 17:49:35,99,98
6/9/2018 17:49:45,99,97
6/9/2018 17:49:56,99,97
6/9/2018 17:50:06,100,98
6/9/2018 17:50:16,100,97
6/9/2018 17:50:26,100,98
6/9/2018 17:50:36,100,97
6/9/2018 17:50:46,100,98
6/9/2018 17:50:56,99,98
6/9/2018 17:51:06,99,98
6/9/2018 17:51:16,99,97
6/9/2018 17:51:26,99,97
6/9/2018 17:51:36,99,98
6/9/2018 17:51:46,100,98
6/9/2018 17:51:56,100,97
6/9/2018 17:52:06,100,98
6/9/2018 17:52:16,99,98
6/9/2018 17:52:26,99,97
6/9/2018 17:52:36,99,98
6/9/2018 17:52:46,99,98
6/9/2018 17:52:56,100,98
6/9/2018 17:53:06,99,97
6/9/2018 17:53:16,99,97
6/9/2018 17:53:26,100,98
6/9/2018 17:53:36,99,98
6/9/2018 17:53:46,100,97
6/9/2018 17:53:56,100,98
6/9/2018 17:54:06,99,98
6/9/2018 17:54:17,99,98
6/9/2018 17:54:27,99,98
6/9/2018 17:54:37,99,98
6/9/2018 17:54:47,99,97
6/9/2018 17:54:57,99,97
6/9/2018 17:55:07,99,97
6/9/2018 17:55:17,99,98
6/9/2018 17:55:27,4,2
6/9/2018 17:55:37,2,4
6/9/2018 17:55:47,6,2
6/9/2018 17:55:57,0,1
6/9/2018 17:56:07,10,2
6/9/2018 17:56:17,3,4
6/9/2018 17:56:27,6,5
6/9/2018 17:56:37,7,5
6/9/2018 17:56:47,3,10
6/9/2018 17:56:57,0,3
6/9/2018 17:57:08,11,3
6/9/2018 17:57:18,6,3
6/9/2018 17:57:28,6,3
6/9/2018 17:57:38,6,3
6/9/2018 17:57:48,6,3
6/9/2018 17:57:58,6,3
6/9/2018 17:58:08,6,3
6/9/2018 17:58:18,6,3
6/9/2018 17:58:28,6,3
6/9/2018 17:58:38,6,3
6/9/2018 17:58:48,6,3
6/9/2018 17:58:58,6,3
6/9/2018 17:59:08,6,3
6/9/2018 17:59:18,2,2
6/9/2018 17:59:28,4,1
6/9/2018 17:59:39,6,6
6/9/2018 17:59:49,2,4
6/9/2018 17:59:59,2,2
6/9/2018 18:00:09,2,2
6/9/2018 18:00:19,3,2
6/9/2018 18:00:29,3,2
6/9/2018 18:00:39,2,2
6/9/2018 18:00:49,2,2
6/9/2018 18:00:59,5,2
6/9/2018 18:01:09,4,3
6/9/2018 18:01:19,4,1
6/9/2018 18:01:29,4,1
6/9/2018 18:01:39,5,1
6/9/2018 18:01:49,4,3
6/9/2018 18:01:59,6,1
6/9/2018 18:02:09,4,1
6/9/2018 18:02:19,0,3
6/9/2018 18:02:30,0,1
6/9/2018 18:02:41,0,2
6/9/2018 18:02:52,0,2
6/9/2018 18:03:03,0,3
6/9/2018 18:03:14,0,2
6/9/2018 18:03:25,0,3
6/9/2018 18:03:36,0,3
6/9/2018 18:03:47,0,2
6/9/2018 18:03:58,0,2
6/9/2018 18:04:09,0,2
6/9/2018 18:04:20,0,2
6/9/2018 18:04:31,0,1
6/9/2018 18:04:42,0,1
6/9/2018 18:04:53,0,3
6/9/2018 18:05:04,0,3
6/9/2018 18:05:15,0,3
6/9/2018 18:05:27,0,3
6/9/2018 18:05:38,0,3
6/9/2018 18:05:49,0,3
6/9/2018 18:06:00,0,3
6/9/2018 18:06:11,0,3
6/9/2018 18:06:22,0,2
6/9/2018 18:06:33,0,3
6/9/2018 18:06:44,0,3
6/9/2018 18:06:55,0,1
6/9/2018 18:07:06,0,2
6/9/2018 18:07:17,0,3
6/9/2018 18:07:28,0,2
6/9/2018 18:07:39,0,2
6/9/2018 18:07:50,0,2
6/9/2018 18:08:01,0,3
6/9/2018 18:08:12,0,2
6/9/2018 18:08:23,0,2
6/9/2018 18:08:34,0,3
6/9/2018 18:08:45,0,3
6/9/2018 18:08:56,0,2
6/9/2018 18:09:07,0,3
6/9/2018 18:09:18,0,2
6/9/2018 18:09:29,0,1
6/9/2018 18:09:40,0,1
6/9/2018 18:09:51,0,3
6/9/2018 18:10:02,0,4
6/9/2018 18:10:13,0,3
6/9/2018 18:10:24,0,1
6/9/2018 18:10:35,0,3
6/9/2018 18:10:47,0,2
6/9/2018 18:10:58,0,2
6/9/2018 18:11:09,0,2
6/9/2018 18:11:20,0,3
6/9/2018 18:11:31,0,3
6/9/2018 18:11:42,0,2
6/9/2018 18:11:53,0,3
6/9/2018 18:12:04,0,3
6/9/2018 18:12:15,0,2
6/9/2018 18:12:26,0,3
6/9/2018 18:12:37,0,3
6/9/2018 18:12:48,0,2
6/9/2018 18:12:59,0,3
6/9/2018 18:13:10,0,2
6/9/2018 18:13:21,0,2
6/9/2018 18:13:32,0,2
6/9/2018 18:13:43,0,3
6/9/2018 18:13:54,0,3
6/9/2018 18:14:05,0,3
6/9/2018 18:14:16,0,1
6/9/2018 18:14:27,0,3
6/9/2018 18:14:38,0,3
6/9/2018 18:14:49,0,2
6/9/2018 18:15:00,0,2
6/9/2018 18:15:11,0,4
6/9/2018 18:15:22,0,3
6/9/2018 18:15:33,0,1
6/9/2018 18:15:44,0,1
6/9/2018 18:15:55,0,1
6/9/2018 18:16:06,0,3
6/9/2018 18:16:18,0,3
6/9/2018 18:16:29,0,3
6/9/2018 18:16:40,0,1
6/9/2018 18:16:51,0,2
6/9/2018 18:17:02,0,1
6/9/2018 18:17:13,0,1
6/9/2018 18:17:24,8,0
6/9/2018 18:17:35,6,0
6/9/2018 18:17:46,6,5
6/9/2018 18:17:56,6,0
6/9/2018 18:18:07,6,5
6/9/2018 18:18:17,6,0
6/9/2018 18:18:28,7,0
6/9/2018 18:18:39,6,5
6/9/2018 18:18:49,6,6
6/9/2018 18:18:59,6,4
6/9/2018 18:19:09,7,4
6/9/2018 18:19:19,7,0
6/9/2018 18:19:30,8,4
6/9/2018 18:19:40,8,0
6/9/2018 18:19:51,8,10
6/9/2018 18:20:01,8,0
6/9/2018 18:20:12,8,0
6/9/2018 18:20:23,7,3
6/9/2018 18:20:33,8,5
6/9/2018 18:20:43,0,0
6/9/2018 18:20:55,0,4
6/9/2018 18:21:06,0,4
6/9/2018 18:21:17,0,5
6/9/2018 18:21:28,0,0
6/9/2018 18:21:41,0,0
6/9/2018 18:21:53,0,2
6/9/2018 18:22:04,0,1
6/9/2018 18:22:15,9,1
6/9/2018 18:22:25,9,1
6/9/2018 18:22:35,9,1
6/9/2018 18:22:45,9,2
6/9/2018 18:22:55,7,2
6/9/2018 18:23:05,6,2
6/9/2018 18:23:15,6,3
6/9/2018 18:23:25,0,3
6/9/2018 18:23:36,0,3
6/9/2018 18:23:47,0,3
6/9/2018 18:23:58,0,3
6/9/2018 18:24:09,0,3
6/9/2018 18:24:20,0,3
